id,puzzle,solution,clues,difficulty
88,..1..2...7.483......6..5.73.......5.6..91..2......4.61..3.6...4.....8....853.....,531792648794836512826145973142687359658913427379254861213569784967428135485371296,25,2.9
89,.3...1.........5..6..47...9.6...4..847.2.3.....8.6.92.2..5...7..8..........7.9...,835691247947832516621475389162954738479283651358167924296518473784326195513749862,24,1.3
90,..6.39.4....6.....5..48..7.79..5...1.6..9.....2...16.......5.....3.6...9..2...4..,276539148489617532531482976794256381168793254325841697647925813853164729912378465,24,0.0
91,...13....9..5....3..6.........64..27.4..2...6..8.....1.....3.9.6.9......75.48.1..,475136289982574613136892574591648327347921856268357941814263795629715438753489162,24,2.1
92,5.86....4....9.8..........31..25....3....47......896..2.1..7......5......7....45.,538671294742395816916428573167253948389164725425789631251847369694532187873916452,23,2.1
93,...735....2.1...3...9...5...7....6.82...4....1...8.4.....3......534..8..4....1..9,641735982528194736739268541374512698286943175195687423817359264953426817462871359,24,2.7
94,....5.8..2......3.86..3.1....3.2..9.5..791....1.5.....9....84....4.17......9.....,397156842241879635865432179783624591526791384419583726952368417634217958178945263,24,0.0
95,.......7.8.....19....3.4...714...8......5...3...8.6....8...35.1..2...4..1..9..23.,496182375823675194571394628714239856268751943359846712987423561632517489145968237,24,2.1
96,65......21.3..4.........73..2.8..57...46...8....4.2......9...58..8.3.1......7....,657381942193724865842569731926813574314657289785492613271946358468235197539178426,24,0.0
97,...82.4........1.7..83...6.1....5..23.5..2.4...4.....184.....9...1.7....7...53...,917826453632594187458317269196745832375182946284639571843261795561978324729453618,25,0.0
98,.....4.6.4.7.92....2.5...7....14.8....9.7..5...6.....3.38.....5...2.9.......36...,951784362467392581823561479372145896189673254546928713638417925714259638295836147,24,0.0
99,..8.7.2.6..4....3....365....8.7..52.9......8.7....64...4.12...............78...1.,318974256564218739279365148486791523951432687732586491843127965195643872627859314,24,0.0
100,...........318.......74.259......534.1..2......4.5.7..6........28..94..6..7.....1,472965183953182467168743259726819534315427698894356712639271845281594376547638921,24,0.0
101,...2.39....6..8..1...6.....2.....4........1.89....7.....7...5..4.19....3.3.4.62..,178243956546798321392615784283169475765324198914587632627831549451972863839456217,23,0.0
102,..6...49......8..179.3..6...1......3.2.......9.86..1....3......8...472...5.....4.,386751492245968371791324658514289763627413589938675124473592816869147235152836947,23,0.0
103,..91.5...7..8...5.....3..8.4...5.6...9136.74...7........69.3.1.13.....64.........,289145376713896452654237189428759631591362748367481295846923517132578964975614823,26,6.1
104,...7..5...6.3.......3.9.4..4......12..12..83.8...3..4.....2...9.1.8.9...5.4....8.,249718563165342798783695421436587912951264837827931645378426159612859374594173286,25,3.6
105,....3..5..8...5..1.592.63..42.5......6.4.2........9..5.46.....3.....78..........4,612834759384795261759216348421573986965482137837169425146928573593647812278351694,24,1.0
106,...7..3.2.1..9..4..5..6.9.....6....53.712....86............92.3..1.7.8.......3.91,496758312718392546253461978129687435347125689865934127574819263931276854682543791,26,0.0
107,.6....47.4.5.21.......6...25....9.1...73......1.65.....2.9...6...1..4.57....7....,862593471475821936139467582586749213247318695913652748728935164691284357354176829,25,0.0
108,..5..4.8.....3.6.9.78.......81..9.........36......25.89.......3.2.....4....7...5.,395674182412835679678921435581369724249587361763412598957246813826153947134798256,22,0.0
109,....9..3...8.......241....6...7.61...69.4.....12........79.....486.3.9.......78.4,671598432538462719924173586345726198769841325812359647157984263486235971293617854,25,0.0
110,.9..........8.6......475...61....92...7...85..39..2..18..2..47.341.............1.,796321584154896732283475196618534927427169853539782641865213479341957268972648315,25,0.0
111,.............4.23.2..7.1....8.9.41.6.9..6385..4......26.8.....9...17.....1.....8.,451382967879546231263791548382954176197263854546817392628435719934178625715629483,25,1.1
112,.1...2...87.5....2.5..968..4......1....2.4..7.3..............36285.7.....4...5...,916842753874531962352796841427389615169254387538167429791428536285673194643915278,24,0.0
113,1...2...5..8.4....6..5...84.97..15....2769.........1..7.6..8.......7.35.........1,174826935358947216629513784897431562512769843463285197736158429941672358285394671,25,2.1
114,......3..16.....97........5....1.85...4.72...91..46...4....5..25...6..4..78.....6,759624381162358497843791625627913854384572169915846273496185732531267948278439516,25,0.0
115,8....3...1.54....69..71.34..5....6....4.3.81..........2.8.........1.8..9...9..5..,847693152135482796962715348359871624624539817781264935298356471573148269416927583,24,2.3
116,....23....2.7..196......5..1....68..4.6.....2....8..749...1........6.7..3...5..6.,695123487823745196714698523172436859486579312539281674968317245251964738347852961,24,0.0
117,....58....24.9.....3.4....1.6..1..72.1.7...48...9.56....3..62..........5....7....,971658324824193756635427891568314972319762548742985613193546287487239165256871439,24,3.1
118,..3...9...45....1......472...12..8.67...63.............5.729...........1.893.5...,673152984245978613918634725531297846794863152862541379156729438327486591489315267,24,3.0
119,.5...4..9...3....2.....7.6..834.9..512.5.3.....7...8....8....9........3....91.2..,752864319469351782831297564683479125124583976597126843278635491915742638346918257,24,3.4
120,2.......8..9..36.5...6..1.....3..9..75...4....2..1...4..7..951.6....1..2.9...5...,216957348879143625534628179468372951751894263923516784347289516685731492192465837,25,0.0
121,..2.1...36......2.....4.6.9.43........9.84..1..17....5278..19..........4.....93.2,982617543634958127157342689543126798769584231821793465278431956396275814415869372,26,2.6
122,..1.4.......1..86...3....9.5...67.38.....35..2.......66....24......1....3.4....82,891746253752139864463528791549267138186493527237851946675382419928614375314975682,24,0.0
123,..9..8.15..2.3.........1.2.7....98..5..31.4..2...8....4.5....8.6..9...5......3..7,349268715172435968856791324714529836568317492293684571435176289687942153921853647,25,1.2
124,.....62..6...3.....834.....8...6...79...15..23.57..8....732.16.2....7.4..........,149576283652138974783492651814263597976815432325749816597324168261987345438651729,26,0.0
125,....8..24.3......1...7..............2.75..3.9...9.75..3..1....7.4.269.8.9....8...,571683924832495761694712835459831276287546319163927548328154697745269183916378452,24,0.0
126,5..7....1.7..6......8..2.4.4....3.68...1...3.....2...5...2.6.7.3...874......1.8..,532749681974861352168352947419573268256198734783624195841236579325987416697415823,25,0.0
127,....9.....4...39.5..8.....6.8..37..2..564..3...49.........2..6...1...7...2...614.,613795284742863915958214376186537492295641837374982651437128569861459723529376148,25,1.7
128,......62.1...92....9.3...4.3.4.....8.....4..6...23........5.....23.1.56.7....8.9.,538147629146892735297365841314976258972584316685231974469753182823419567751628493,24,1.4
129,......8.........14.9.2..5..37.61.......54...7.457..3..7....61.82....7.3.1.3..9...,531974826627835914498261573372618495916543287845792361759326148284157639163489752,27,2.5
130,.7.....16.3...5...89.1..4.72.........8.3...9.1...6...4.6...1.8...7..89......9..45,472983516631475829895126437243719658786354291159862374964531782517248963328697145,26,0.0
131,.7.58...6...2.9.1.3.2.6.5.........3...3...84.....1.........4.684..3.8.7..51.7....,974581326685239714312467589167845932593726841248913657739154268426398175851672493,26,1.0
132,.4.9.1..5...4..6.......3.4....53.4.6.5...93.78........72.......1.67.8.....81..5..,247961835389475612561283749912537486654819327873642951725394168136758294498126573,26,1.4
133,......7..2.5...3.6...76...1....8......6..5...34..97......6..4.7.....8...9..4..1.5,618534729275819346439762851591386274786245913342197568823651497154978632967423185,23,1.2
134,..95.....3...41.8......87......9.3..48.36..2...6.....71..7......5......1.....28.5,849576213375241986612938754527194368481367529936825147168753492253489671794612835,24,3.1
135,3.5..1..84....5.......2.......6..457..894...3.......2.6.2.9.....9.5...6..7.......,365471298429865371817329546931682457258947613746153829682794135194538762573216984,23,1.1
136,.5...6........9..8..8...2..8...7.42...78..6.3.14.9......6.275.....941.8..........,751286934642739158938415267865173429297854613314692875486327591523941786179568342,25,1.9
137,3.....9.4..4.5..7..2.3.....7..5...89.9.7..6.2....6............6.83....1..51..83..,375681924864952173129347568716523489598714632432869751247135896983476215651298347,25,0.0
138,........3.2..6..9...7953....7...8..2..6.9...42..6..78..18....2..5.2.9.6..6......5,691824573325167498847953216179438652586792134234615789918546327453279861762381945,27,2.2
139,.69..2.....275.......6.4..5......5368....5......17.....8.24.1.......6...9.....47.,569832741432751698178694325791428536824365917653179284385247169247916853916583472,24,0.0
140,.9..........9.8.7.7.14....5.4.....2..75..4.6...8..3..93..1......5..8.2.6....3.4..,592371684436958172781426395643897521975214863218563749367142958154789236829635417,25,1.2
141,75..1..2....6...8.16...2.....3....46.....78.14...9...5...8.....5............5..14,758914623234675189169382457913528746625437891487196235341869572592741368876253914,23,2.3
142,....56...17..2.3......8...6.8..4..2..1.2...7...9..5..4.2897...........5.4........,842356917176429385953187246785643129614298573239715864528974631397861452461532798,23,0.0
143,3.79.......5..6......7...6.2..53.1....36..5......2...8..4.1.6.71....7..4.......9.,367951482945286713821743965278539146413678529659124378594812637186397254732465891,24,0.0
144,52..9........28....9..5...19.3...27...6..7........56..6....27..8..........7..3.85,521794836364128597798356421953861274186247359472935618619582743835479162247613985,24,0.0
145,...1.7....1..4.6.......69.7.......8.2..71..6439.2........4.....6....24385...3....,962157843718943652453826917147365289285719364396284175839471526671592438524638791,25,0.0
146,82.........4.29.7...6...1.29....78..2...8..9......57...6.45...11...986.....1..2..,827514369314629578596873142943267815275381496681945723768452931132798654459136287,27,1.9
147,...1.3..54.5.2..6.28.............8.7.....63..5....2.9.93.27.5.1............9..7..,697143285415827963283659174362594817849716352571382496936278541758431629124965738,24,0.0
148,....76......8...1..19....6...32....9..5....8...4.8.6..4........7...9213.5.......2,348176295657829413219453768863217549125964387974385621492731856786592134531648972,23,4.3
149,.1..5....3...6..58.....89...317.....87...2.....9.3..24..........8.....13.5...74..,618953247397264158425178936231746895874592361569831724142385679786429513953617482,24,1.7
150,7........4.1.3..7.8...6.91..1...856......93...69.....1.....5......74.....7.38....,756194823491832675823567914314278569587619342269453781648925137135746298972381456,24,0.0
151,3.....576629.7...31.........9.4...........7...5...6.........15.4..21..9...3..8...,348192576629574813175683942796431285234859761851726439982367154467215398513948627,23,2.3
152,.41.3...62.687...9.........1..3..2...6..8........2..75...19..3.......4..8...4..97,741932856236875149958416723197354268562789314483621975674198532329567481815243697,25,5.4
153,...8.5....8......1.92...87...1..76.....12..397.........5.3.4...3...7.4....9....6.,137845296684792351592613874921437685845126739763958142258364917316579428479281563,24,2.1
154,..4......61...298.......543...5.7.....7....212...6........79.5.3.81.....4........,834795612615342987792618543941527836567983421283461795126879354378154269459236178,23,3.7
155,.2......6.....3...678.253....3......5..7.2..8.6.....45.1.4...2...95.........8.6..,321847956945613872678925314783154269594762138162398745816439527239576481457281693,24,1.3
156,..4......73.5.9..89......3.8.......4..6..32...7.621...2..9..6......74...58.......,614387592732569418958412736823795164196843257475621389241958673369174825587236941,24,0.0
157,.45...1.23...64......9...5.5.812.....2...6.7...7.9.......3....917.........9....17,945783162312564798786912453598127634421836975637495281864371529173259846259648317,25,0.0
158,.......7..412...3...9.7.12..7...4...5..........3.....9...56....89...35...1.....64,258319476741286935639475128972834651564192387183657249427561893896743512315928764,23,0.0
159,54..1...6.......17.....85......83.....925......3..1....6....42..7.94..8.1.......9,542719836836524917791368542257683194419257368683491275968175423375942681124836759,24,0.0
160,....8.5.....4...8.7.4.1........4....5.17..8......3.6.7.9.1...62....7....84....9..,639287514152493786784615239973846125561729843428531697397158462216974358845362971,23,0.0
161,3....624.7....3.9.....9.......1.4.63......527....5.....8.5....4..63......1.96..3.,398716245754823196162495378527184963841639527639257481983572614276341859415968732,25,0.0
162,9.4....6.1..28..3..8..9..4.25.9....36.........4....57..........4.9.1.7....34.7...,934571862176284935582396147257948613691735428348162579715629384429813756863457291,25,0.0
163,..6..7.1.3...4..75..5.8..26.....8.6...241.......9......297.....8.3.9...27.....1..,296357814318246975475189326941578263682413597537962481129734658853691742764825139,26,3.2
164,.....2.8......1..9..835..71...4..6.2..1..35..4..89...7.........69.......3.4...8..,159742386743681259268359471835417692971263548426895137587124963692538714314976825,24,0.0
165,.9..8.....31.9..4..7......6...3...9....9124.....8.....8..74..........8.32......1.,692483175531697248478251936184375692356912487927864351813746529745129863269538714,22,0.0
166,5....781.7....5.......1274.98..6.....1.7...2..............8.6....53..1..8...9..7.,524637819791845263368912745982163457413758926657429381179584632245376198836291574,24,1.5
167,1......2.....4.71...53.....3.....2.8...1.....9..86.....43........8.17..3..762....,164758329839246715725391846351974268486132597972865431643589172298417653517623984,23,0.0
168,..1.8.......5.9....7..1..43..6.5...2...6.....93.4...8.....2.1.47.8...56..........,241387956683549217579216843416853792857692431932471685365928174728134569194765328,23,2.7
169,....2...6......587...5.3.4.39...4.....8...9.....6.....76..92....3.7...1..41...7.9,157428396423961587986573142392854671618237954574619823765192438839746215241385769,25,0.0
170,.7......924....1......7...2.....95...23.8.......1...476..4......9....25...73.8...,871254369249863175536971482718649523423587916965132847682495731394716258157328694,23,1.5
171,.6.42....2.3..1.........7...245...7.........11..7..3...86.9.2...95..6.3......5...,568427913273961485941358762624513879837649521159782346386194257495276138712835694,24,2.8
172,.6....4.9893........5..8....1.3....5.....2...6..48.9.3.8...3...7..5..8....9.2..7.,162735489893264157475918362218397645934652718657481923586173294721549836349826571,25,2.1
173,....6..29......8....7.2..1..4..9.5.....5..73....8.4....6....3..43.1.......1....8.,815367429624951873397428615143792568982516734576834192769285341438179256251643987,22,1.0
174,.5.4.3.......7....6....2.4......63..4.3.....51..8..6..78.56............9326....8.,951483276248679153637152948895246317463917825172835694789561432514328769326794581,24,0.0
175,.7.89....5...7.6....8.2...3.259.....7.....4......37..2....64....6.2....8...5.....,374896125592371684618425973125948367783652419946137852859764231467213598231589746,23,1.8
176,...2.....8.6..4.5...9.5...1..4.92.87.21...........3....1.........59.8.2.9...6...3,157289634836714952249356871564192387321875469798643215613427598475938126982561743,24,2.6
177,.42....1.8.....2.3...1.8..9.31.......5...7......69.7.....56....67....4........82.,542379618819456273367128549731845962956237184284691735128564397673982451495713826,23,1.4
178,.8...2..93...9..51.2....3........7....3.1....7.4.6.9...1.3.5..42..9....3....21...,586132479347896251921754386162489735893517642754263918619375824275948163438621597,25,1.4
179,......5..2...1..7.87..9.....8.2....3..54..6.2.....1...49758..3....3.4............,963742518254813976871695324689257143715438692342961785497586231126374859538129467,23,0.0
180,.......87.7........86..4...8..1.5....479..6...6....2....95..4...3....7..6....2..5,451236987273891546986754132892165374147923658365487219729518463538649721614372895,23,1.0
181,.....42718..3....5...76....2..1....64..2..75...3........9.1.....52......7....9.18,936854271827391645541762893295178436418236759673945182389617524152483967764529318,25,2.1
182,......1.45.62...7...85.....2......916...84....5...........7.......81.3..43...2..9,972368154546291873318547962284735691693184527157926438869473215725819346431652789,23,0.0
